status,eligible_for_model_training,purpose,experiment_proposal_id,hypothesis_id,title,overlap_classification,parent_hypothesis_ids,control,treatment,primary_metric_contract,proposal_status,required_gate
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H034,H034,段階的確率更新モデル,variant_of_existing,H012;H015;H019,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,全情報一括入力モデルとの比較。事前branchと展示更新branchを同条件で評価する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H035,H035,展示サプライズ残差モデル,new_distinct_hypothesis,H012;H013,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,展示生値・場内順位・期待値残差の比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H036,H036,Top-3集合→順序分解モデル,variant_of_existing,H015;H017;H019,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,120直接Softmax、自己回帰Top-3との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H037,H037,厳密正規化Permutation CRF／Energy Model,variant_of_existing,H015;H019;H020,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,直接120 head、共有トリプルスコアラーとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H038,H038,相関ランダム効用モデル,variant_of_existing,H018;H010;H011,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,Plackett–Luce、文脈依存自己回帰との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H039,H039,多粒度確率整合学習,variant_of_existing,H015;H017;H019,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,三連単単独学習との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H041,H041,類似レース検索拡張モデル,new_distinct_hypothesis,H016;H021,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,検索なし表形式／構造モデルとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H042,H042,低ランク交差相互作用モデル,variant_of_existing,H007;H008;H010,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,単純加算、完全交差embeddingとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H045,H045,コールドスタート階層モデル,new_distinct_hypothesis,H001;H004;H021,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,ID embedding、単純平均補完との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H048,H048,15ペア勝敗→120通り再構成モデル,variant_of_existing,H010;H018;H019,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,直接120、Plackett–Luceとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H050,H050,連続時間・主体別状態空間モデル,variant_of_existing,H021;H001;H005,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,rolling特徴、GRUとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H053,H053,補助教師間の勾配衝突制御,variant_of_existing,H026;H029,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,固定loss weightとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H055,H055,複数情報ビューの整合学習,new_distinct_hypothesis,H016;H019;H012,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,全特徴一括入力との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H056,H056,低ランク・テンソル分解型三連単スコアラー,variant_of_existing,H019;H042,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,独立120 head、共有MLPスコアラーとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H058,H058,6艇STの相関分布モデル,variant_of_existing,H025;H027,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,独立Gaussian ST、点予測との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H064,H064,統計モデル＋ニューラル残差モデル,variant_of_existing,H018;H019;H016,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,純統計、純ニューラルとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
