feature_name,feature_table,source_file_table,source_field,official_stat_family,official_window_definition,window_cutoff,excludes_current_meeting,in_v0_1_snapshot,schema_mapping_confirmed,upstream_window_independently_recomputable,current_audit_status,proposed_provenance_status,application_status,snapshot_modified,evidence,unresolved_question
national_top_1_percent,boat_features,raw programs JSON / programs[].boats[],racer_national_top_1_percent,national,開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_national_top_1_percent -> national_top_1_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
national_top_2_percent,boat_features,raw programs JSON / programs[].boats[],racer_national_top_2_percent,national,開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_national_top_2_percent -> national_top_2_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
national_top_3_percent,boat_features,raw programs JSON / programs[].boats[],racer_national_top_3_percent,national,開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_national_top_3_percent -> national_top_3_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
local_top_1_percent,boat_features,raw programs JSON / programs[].boats[],racer_local_top_1_percent,local,公式規定期間から前検日前日まで,value frozen in target-race official program; formal family cutoff applies,not_applicable_as_defined,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_local_top_1_percent -> local_top_1_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
local_top_2_percent,boat_features,raw programs JSON / programs[].boats[],racer_local_top_2_percent,local,公式規定期間から前検日前日まで,value frozen in target-race official program; formal family cutoff applies,not_applicable_as_defined,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_local_top_2_percent -> local_top_2_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
local_top_3_percent,boat_features,raw programs JSON / programs[].boats[],racer_local_top_3_percent,local,公式規定期間から前検日前日まで,value frozen in target-race official program; formal family cutoff applies,not_applicable_as_defined,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_local_top_3_percent -> local_top_3_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
motor_top_2_percent,boat_features,raw programs JSON / programs[].boats[],racer_assigned_motor_top_2_percent,motor,使用開始日から最大1年、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_assigned_motor_top_2_percent -> motor_top_2_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
motor_top_3_percent,boat_features,raw programs JSON / programs[].boats[],racer_assigned_motor_top_3_percent,motor,使用開始日から最大1年、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_assigned_motor_top_3_percent -> motor_top_3_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
boat_top_2_percent,boat_features,raw programs JSON / programs[].boats[],racer_assigned_boat_top_2_percent,boat,使用開始日から最大1年、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_assigned_boat_top_2_percent -> boat_top_2_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
boat_top_3_percent,boat_features,raw programs JSON / programs[].boats[],racer_assigned_boat_top_3_percent,boat,使用開始日から最大1年、今節を含まない,value frozen in target-race official program; formal family cutoff applies,true,true,true,false,pass_with_provider_window_unverified,official_window_documented,proposal_only_not_applied_to_snapshot_or_contract,false,real mapping confirmed: racer_assigned_boat_top_3_percent -> boat_top_3_percent; window definition supplied as official rule for this policy,archive the primary official specification; raw aggregate value does not expose its internal source rows
racer_flying_count,not_in_v0_1_snapshot_future_as_of_candidate,raw programs JSON / programs[].boats[],racer_flying_count,flying_late,級別審査対象期間,target-race official program snapshot,not_stated,false,true,false,available_in_raw_not_in_v0_1_feature_set,official_window_documented,future_feature_proposal_only,false,raw field racer_flying_count confirmed in target program schema,archive primary class-examination period specification
racer_late_count,not_in_v0_1_snapshot_future_as_of_candidate,raw programs JSON / programs[].boats[],racer_late_count,flying_late,級別審査対象期間,target-race official program snapshot,not_stated,false,true,false,available_in_raw_not_in_v0_1_feature_set,official_window_documented,future_feature_proposal_only,false,raw field racer_late_count confirmed in target program schema,archive primary class-examination period specification
