status,eligible_for_model_training,purpose,hypothesis_id,family,proposed_tier,title,parent_hypothesis_ids,summary,minimal_comparison,key_risk,primary_metric_contract,formalization_status,source
proposed_addendum_unregistered,False,research_hypothesis_design_only,H034,probability_update,core_addendum,段階的確率更新モデル,H012|H015|H019,出走表・過去能力から事前三連単確率を作り、展示・直前情報による対数確率補正を加えて最終分布を得る。,全情報一括入力モデルとの比較。事前branchと展示更新branchを同条件で評価する。,段階分離が不適切だと展示前後の相互作用を失う。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H035,exhibition_residual,core_addendum,展示サプライズ残差モデル,H012|H013,展示タイム等の生値ではなく、選手・機材・場・気象から予測した期待展示値との差を当日状態として使う。,展示生値・場内順位・期待値残差の比較。,期待展示モデルの誤差を主モデルへ伝播する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H036,output_factorization,core_addendum,Top-3集合→順序分解モデル,H015|H017|H019,まず上位3艇集合20通りを予測し、選ばれた集合内の6順序を条件付き予測して120確率を構成する。,120直接Softmax、自己回帰Top-3との比較。,集合予測の誤りが順序予測を制限する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H037,structured_energy,core_addendum,厳密正規化Permutation CRF／Energy Model,H015|H019|H020,艇・着順の単項、艇間順序、三艇相互作用から120候補のenergyを作り、全列挙Softmaxで厳密正規化する。,直接120 head、共有トリプルスコアラーとの比較。,高次項が過学習しやすい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H038,random_utility,core_addendum,相関ランダム効用モデル,H018|H010|H011,艇効用の誤差を独立とせず、共通展開ショックや艇間相関を持つ順位確率モデルにする。,Plackett–Luce、文脈依存自己回帰との比較。,相関構造の識別が不安定になり得る。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H039,multi_granularity_consistency,core_addendum,多粒度確率整合学習,H015|H017|H019,1着、二連単、Top-3集合、三連単を同時学習し、最終120分布から導く周辺確率と補助headを整合させる。,三連単単独学習との比較。,補助headの誤差が主分布を歪める。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H040,mixture_of_experts,conditional,潜在レース型Mixture-of-Experts,H022|H023,イン安定型、外圧型、進入変化型等の潜在レース型ごとに専門家を持ち、予想時特徴から混合する。,単一モデル、固定場別専門家との比較。,専門家の崩壊・ゲート過学習。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H041,retrieval,core_addendum,類似レース検索拡張モデル,H016|H021,時点厳守で似た過去レースを検索し、近傍の表現・結果分布を現在モデルへ統合する。,検索なし表形式／構造モデルとの比較。,近傍検索に未来情報や同一主体の過近接漏洩が入りやすい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H042,interaction_factorization,core_addendum,低ランク交差相互作用モデル,H007|H008|H010,選手×機材×場×コース等の高次相互作用を低ランク因子へ分解し、疎な組合せでも共有学習する。,単純加算、完全交差embeddingとの比較。,低ランク仮定が複雑な相性を表現できない。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H043,self_supervised,conditional,自己教師あり事前学習,H021|H016,特徴マスク復元、破損検出、同一主体の対比学習等で艇表現を事前学習してから三連単へfine-tuneする。,教師ありゼロ初期化との比較。,事前課題が最終Top-3に無関係な表現を学ぶ。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
