status,eligible_for_model_training,purpose,evidence_batch_id,venue_code,equipment_type,local_period_start,local_period_end,package_resolution_status,evidence_level,current_boundary_status,full_period_coverage,unresolved_history_present,official_evidence_ids,local_match_status,notes
provisional,false,official_evidence_import_sidecar_only,EBATCH:01:boat:c8b55cbe21d0,01,boat,2023-09-05,2026-07-18,official_evidence_partial_c_only,C,C,false,true,EV002,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:01:motor:28c1e578fcc1,01,motor,2023-09-05,2026-07-18,official_evidence_partial,B,B,false,true,EV001;EV040,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:02:boat:25ce019ef28c,02,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV003,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:02:motor:e2ac07487182,02,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV003,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:03:boat:df6c66590237,03,boat,2023-09-02,2026-07-16,official_evidence_partial,A,A,false,true,EV004;EV041,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:03:motor:0da266669269,03,motor,2023-09-02,2026-07-16,official_evidence_partial,A,A,false,true,EV004;EV041,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:04:boat:718b10f2b7b9,04,boat,2023-09-06,2026-07-18,official_evidence_partial,A,A,false,true,EV005,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:04:motor:54af06a12621,04,motor,2023-09-06,2026-07-18,official_evidence_partial,A,A,false,true,EV005,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:05:boat:dd073781a783,05,boat,2023-09-05,2026-07-16,official_evidence_partial,A,A,false,true,EV007,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:05:motor:d05ae8e7ccb5,05,motor,2023-09-05,2026-07-16,official_evidence_partial,A,A,false,true,EV006,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
