status,eligible_for_model_training,purpose,evidence_batch_id,venue_code,equipment_type,candidate_period_start,candidate_period_end,equipment_key_count,affected_race_count,affected_boat_row_count,first_observed_date,last_observed_date,reset_signal_count,large_gap_signal_count,potential_generation_count,blocked_hypothesis_ids,expected_research_impact,recommended_official_evidence,suggested_search_terms,priority,current_evidence_level,generation_id_issued
provisional,false,policy_execution_validation,EBATCH:01:boat:c8b55cbe21d0,01,boat,2023-09-05,2026-07-18,65,6228,37368,2023-09-05,2026-07-18,126,77,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,01 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:01:motor:28c1e578fcc1,01,motor,2023-09-05,2026-07-18,65,6228,37368,2023-09-05,2026-07-18,119,85,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,01 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:02:boat:25ce019ef28c,02,boat,2023-09-01,2026-07-18,67,6408,38448,2023-09-01,2026-07-18,103,87,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,02 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:02:motor:e2ac07487182,02,motor,2023-09-01,2026-07-18,65,6408,38448,2023-09-01,2026-07-18,91,87,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,02 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:03:boat:df6c66590237,03,boat,2023-09-02,2026-07-16,60,6216,36648,2023-09-02,2026-07-16,66,86,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,03 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:03:motor:0da266669269,03,motor,2023-09-02,2026-07-16,60,6216,36648,2023-09-02,2026-07-16,81,80,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,03 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:04:boat:718b10f2b7b9,04,boat,2023-09-06,2026-07-18,65,5712,34272,2023-09-06,2026-07-18,195,154,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,04 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:04:motor:54af06a12621,04,motor,2023-09-06,2026-07-18,65,5712,34272,2023-09-06,2026-07-18,195,162,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,04 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:05:boat:dd073781a783,05,boat,2023-09-05,2026-07-16,67,6036,36216,2023-09-05,2026-07-16,140,107,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,05 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:05:motor:d05ae8e7ccb5,05,motor,2023-09-05,2026-07-16,65,6036,36216,2023-09-05,2026-07-16,139,107,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,05 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:06:boat:99be39893377,06,boat,2023-09-01,2026-07-15,65,6432,38592,2023-09-01,2026-07-15,61,108,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,06 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:06:motor:f814297a44fc,06,motor,2023-09-01,2026-07-15,65,6432,38592,2023-09-01,2026-07-15,98,136,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,06 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:07:boat:ad4f5e5feeba,07,boat,2023-09-01,2026-07-18,65,6468,38808,2023-09-01,2026-07-18,110,150,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,07 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:07:motor:19b8135bc000,07,motor,2023-09-01,2026-07-18,65,6468,38808,2023-09-01,2026-07-18,119,152,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,07 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:08:boat:a724bab64dd6,08,boat,2023-09-01,2026-07-18,68,6600,39600,2023-09-01,2026-07-18,60,85,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,08 boat 新モーター 新ボート 使用開始,P0,D,false
