mapping_version,raw_subtitle,raw_value_is_null,normalized_stage,mapping_method,review_status,rule_id,race_count,first_observed_date,last_observed_date,venue_count,notes
race_stage_taxonomy_v1,,true,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,204,20240103,20260518,4,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,0929DR,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,3,20240213,20260222,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,1stドリーム,false,dream,automatic_rule_v1,auto_rule_unreviewed,AUTO_DREAM,19,20231103,20260630,4,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,1回戦,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,24,20240111,20260122,3,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,2ndドリーム,false,dream,automatic_rule_v1,auto_rule_unreviewed,AUTO_DREAM,20,20230901,20260701,4,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,2世選手バトル,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,1,20240622,20240622,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,3ライズ戦,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,217,20250404,20260715,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,3ライズ戦一般,false,general,automatic_rule_v1,auto_rule_unreviewed,AUTO_GENERAL,103,20230904,20250330,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,3ライズ戦予選,false,qualifying,automatic_rule_v1,auto_rule_unreviewed,AUTO_QUALIFYING,129,20230901,20250328,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,3支部ガチDR,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,2,20240301,20250316,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,3支部ガチ選抜,false,selection,automatic_rule_v1,auto_rule_unreviewed,AUTO_SELECTION,5,20240302,20250319,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,5ールドレース,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,456,20231216,20260714,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,70周年DR,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,1,20251006,20251006,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
race_stage_taxonomy_v1,8っぴータイム,false,unknown,unknown_fallback_v1,unknown_unreviewed,UNKNOWN,169,20250404,20260715,1,Raw value retained. unknown is a valid non-leaking fallback; automatic mappings require later manual review.
