decision_program_id,evidence_available,evidence_sufficient,formal_status_change,note
CDP-A01,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A02,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A03,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A04,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A05,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A06,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A07,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A08,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A09,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A10,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A11,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A12,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A13,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A14,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
CDP-A15,True,False,not_applied,Diagnostic evidence only; no model or champion status change in Gate 2-E.
