status,eligible_for_model_training,purpose,raw_subtitle,existing_stage,proposed_stage,proposal_action,review_status,mapping_version,reason,requires_human_confirmation
provisional,false,policy_execution_validation,ドラドキ3,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,ドラドキ目玉,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,ファーストB,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,サンライズV戦,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,サンライズW戦,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,サンライズX戦,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,サンライズY戦,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,サンライズZ戦,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,ドラドキ5,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,エイトビート,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,5ールドレース,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,住之江ファイブ,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,昼どきピンクル,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,朝からセンプル,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,ツッキーレース,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,みくにあさイチ,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,みくにあさガチ,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,みくにあさズバ,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
provisional,false,policy_execution_validation,みくにあさ推し,unknown,unknown,retain_existing_mapping_no_taxonomy_write,remains_ambiguous,race_stage_taxonomy_v1,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,true
