data_item,hypothesis_ids,current_location,current_field,availability_class,point_in_time_requirement,historical_coverage,venue_coverage,recoverability,additional_collection_required,blocks_core_research,priority,recommended_action,evidence,unresolved_question
current_v0_1_feature_set_49,H001;H003;H009;H011;H015;H016;H017;H018;H020;H022;H026;H029,results/boatrace_model_research/snapshots/research_v0_1_148956_b69fb714835e,race_features(16);boat_features(33),A,snapshot fields only; before closed_at,"2023-09-01..2026-07-18; 144,961 eligible races",24 venues,already materialized,no,no,P0,retain immutable; regenerate only after Gate 1 audit,feature audit has 49 rows and no prohibited inference columns,aggregate windows remain provenance issue
ordered_top3_and_aux_targets,H001-H033,results/boatrace_model_research/snapshots/research_v0_1_148956_b69fb714835e,top3_targets;auxiliary_targets,A,post-race target only,"148,956 target rows; 144,611 main-scorable",24 venues,already materialized,no,no,P0,keep target/inference separation,v0.1 outcome audit reconciled unique/tied/void,Gate 1 final snapshot must be re-audited
racer_flying_late_state,H001;H003;H014;H021,raw programs JSON / programs[].boats[],racer_flying_count;racer_late_count,B,target-race program snapshot before closed_at; class-examination period provenance,"892,512/893,736 entries populated",24 venues,derive without result join,no,no,P0,add to future as-of builder with provenance flag,fields exist and are absent only on 204 program-missing/cancelled race shells,confirm official examination-period definition with primary specification
motor_generation_id,H004;H005;H007;H021;H033,raw program + missing generation registry,venue_code;motor_no;motor_use_start_date or generation boundary,D,generation boundary must be known as of race date,"venue+motor present 892,512/893,736; use-start absent",24 venues for number only,not safely recoverable from number alone,yes,yes,P0,collect official motor use-start/generation boundaries before H004,number is reused and raw schema has no start date/boundary,where is the authoritative venue-by-venue motor deployment history?
boat_generation_id,H004;H005;H021;H033,raw program + missing generation registry,venue_code;boat_no;boat_use_start_date or generation boundary,D,generation boundary must be known as of race date,"venue+boat present 892,512/893,736; use-start absent",24 venues for number only,not safely recoverable from number alone,yes,yes,P0,collect official boat use-start/generation boundaries before H004,raw schema has assigned boat number and aggregate only,where is the authoritative venue-by-venue boat deployment history?
meeting_id_and_day,H005;H007;H014;H021,raw programs JSON / programs[],stadium_number;date;title;day_label,B,derive from target/prior programs only,"day_label nonblank 148,752/148,956; direct day number 120,636",24 venues,mostly recoverable; cancellation/postponement labels need rules,no,no,P0,define deterministic episode key and exception table at Gate 1,day labels include 初日..６日目 plus 順延/中止/None,"how should title changes, postponements and re-races split an episode?"
same_day_run_index,H014;H021,raw programs + beforeinfo DB,date;racer_number;race_no;hayami_race_no;single_race_day,B,schedule index is allowed; prior result only if published before cutoff,"342,159 entries have an earlier scheduled run; hayami nonblank 361,202",24 venues,schedule index recoverable,no,no,P0,separate scheduled_run_index from prior_result_asof,program race_no order is deterministic and hayami exists,is a timestamped publication artifact available for all prior same-day results?
same_day_prior_result_asof,H006;H014;H021,beforeinfo_entries,prev_race_no_text;prev_course_text;prev_st_text;prev_finish_text,B,must be embedded in target-race beforeinfo or have publication timestamp < target cutoff,"prev_finish nonblank 144,002/457,038",coverage inherited from DB; venue-level profile pending,recover from target beforeinfo only,no,no,P0,prefer target-race beforeinfo prev_* fields; never join final result merely by race order,prev_* fields are target-beforeinfo observations,does fetched_at prove cutoff for every beforeinfo row?
racer_motor_meeting_history,H005;H006;H007;H021,raw programs plus as-of prior outcomes,meeting_id;racer_id;motor_generation_id;prior race outcome,B,strict event-time filter; target and future excluded,"728,521 prior-date link candidates before generation validation",24 venues,conditional on meeting and generation IDs,generation boundary yes,yes,P0,build only after H004 identity and event-time audit,same venue/title/racer/motor number history is abundant but number collision remains,can all prior outcomes be assigned publication timestamps?
race_stage_category,H003;H022,raw programs JSON / programs[],subtitle;grade_label;grade_number,B,target-race program before cutoff,"subtitle nonblank 148,752/148,956; 595 raw values",24 venues,recoverable with versioned mapping and unknown bucket,no,no,P0,create auditable raw-to-category mapping; retain raw value,予選/準優勝戦/優勝戦 and many venue-specific labels observed,how are special selection and cancellation labels grouped?
