status,eligible_for_model_training,purpose,venue_code,equipment_type,equipment_number,equipment_number_scope,official_generation_start_date,official_generation_end_date_if_known,evidence_level,evidence_ids,local_min_date,local_max_date,eligible_date_start,eligible_date_end,pre_boundary_policy,generation_key_candidate,materialization_status,requires_gate1_reaudit,candidate_id
provisional,false,official_evidence_import_sidecar_only,01,motor,,all numbers in the venue generation; materialize per observed number after date join,2023-12-28,2025-12-26,B,EV040,2023-09-05,2026-07-18,2023-12-28,2025-12-26,exclude_from_generation_identity_until_separately_resolved,01_motor_{equipment_number}_20231228,planned_not_applied,true,GENCAND:01:motor:20231228
provisional,false,official_evidence_import_sidecar_only,01,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-12-27,,B,EV001,2023-09-05,2026-07-18,2025-12-27,,exclude_from_generation_identity_until_separately_resolved,01_motor_{equipment_number}_20251227,planned_not_applied,true,GENCAND:01:motor:20251227
provisional,false,official_evidence_import_sidecar_only,02,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,A,EV003,2023-09-01,2026-07-18,2025-08-06,,exclude_from_generation_identity_until_separately_resolved,02_boat_{equipment_number}_20250806,planned_not_applied,true,GENCAND:02:boat:20250806
provisional,false,official_evidence_import_sidecar_only,02,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,A,EV003,2023-09-01,2026-07-18,2025-08-06,,exclude_from_generation_identity_until_separately_resolved,02_motor_{equipment_number}_20250806,planned_not_applied,true,GENCAND:02:motor:20250806
provisional,false,official_evidence_import_sidecar_only,03,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,A,EV041,2023-09-02,2026-07-16,2025-05-06,2026-05-10,exclude_from_generation_identity_until_separately_resolved,03_boat_{equipment_number}_20250506,planned_not_applied,true,GENCAND:03:boat:20250506
provisional,false,official_evidence_import_sidecar_only,03,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,A,EV004,2023-09-02,2026-07-16,2026-05-11,,exclude_from_generation_identity_until_separately_resolved,03_boat_{equipment_number}_20260511,planned_not_applied,true,GENCAND:03:boat:20260511
provisional,false,official_evidence_import_sidecar_only,03,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,A,EV041,2023-09-02,2026-07-16,2025-05-06,2026-05-10,exclude_from_generation_identity_until_separately_resolved,03_motor_{equipment_number}_20250506,planned_not_applied,true,GENCAND:03:motor:20250506
provisional,false,official_evidence_import_sidecar_only,03,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,A,EV004,2023-09-02,2026-07-16,2026-05-11,,exclude_from_generation_identity_until_separately_resolved,03_motor_{equipment_number}_20260511,planned_not_applied,true,GENCAND:03:motor:20260511
provisional,false,official_evidence_import_sidecar_only,04,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,A,EV005,2023-09-06,2026-07-18,2026-06-18,,exclude_from_generation_identity_until_separately_resolved,04_boat_{equipment_number}_20260618,planned_not_applied,true,GENCAND:04:boat:20260618
provisional,false,official_evidence_import_sidecar_only,04,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,A,EV005,2023-09-06,2026-07-18,2026-06-18,,exclude_from_generation_identity_until_separately_resolved,04_motor_{equipment_number}_20260618,planned_not_applied,true,GENCAND:04:motor:20260618
provisional,false,official_evidence_import_sidecar_only,05,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-18,,A,EV007,2023-09-05,2026-07-16,2026-04-18,,exclude_from_generation_identity_until_separately_resolved,05_boat_{equipment_number}_20260418,planned_not_applied,true,GENCAND:05:boat:20260418
provisional,false,official_evidence_import_sidecar_only,05,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-18,,A,EV006,2023-09-05,2026-07-16,2026-04-18,,exclude_from_generation_identity_until_separately_resolved,05_motor_{equipment_number}_20260418,planned_not_applied,true,GENCAND:05:motor:20260418
provisional,false,official_evidence_import_sidecar_only,06,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-10-08,,A,EV009,2023-09-01,2026-07-15,2025-10-08,,exclude_from_generation_identity_until_separately_resolved,06_boat_{equipment_number}_20251008,planned_not_applied,true,GENCAND:06:boat:20251008
provisional,false,official_evidence_import_sidecar_only,06,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-09,,A,EV008,2023-09-01,2026-07-15,2026-04-09,,exclude_from_generation_identity_until_separately_resolved,06_motor_{equipment_number}_20260409,planned_not_applied,true,GENCAND:06:motor:20260409
provisional,false,official_evidence_import_sidecar_only,07,boat,,all numbers in the venue generation; materialize per observed number after date join,2023-07-07,2025-07-18,A,EV042,2023-09-01,2026-07-18,2023-07-07,2025-07-18,exclude_from_generation_identity_until_separately_resolved,07_boat_{equipment_number}_20230707,planned_not_applied,true,GENCAND:07:boat:20230707
provisional,false,official_evidence_import_sidecar_only,07,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-07-19,,A,EV010,2023-09-01,2026-07-18,2025-07-19,,exclude_from_generation_identity_until_separately_resolved,07_boat_{equipment_number}_20250719,planned_not_applied,true,GENCAND:07:boat:20250719
provisional,false,official_evidence_import_sidecar_only,07,motor,,all numbers in the venue generation; materialize per observed number after date join,2023-07-07,2025-07-18,A,EV042,2023-09-01,2026-07-18,2023-07-07,2025-07-18,exclude_from_generation_identity_until_separately_resolved,07_motor_{equipment_number}_20230707,planned_not_applied,true,GENCAND:07:motor:20230707
provisional,false,official_evidence_import_sidecar_only,07,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-07-19,,A,EV010,2023-09-01,2026-07-18,2025-07-19,,exclude_from_generation_identity_until_separately_resolved,07_motor_{equipment_number}_20250719,planned_not_applied,true,GENCAND:07:motor:20250719
provisional,false,official_evidence_import_sidecar_only,08,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-06-29,,A,EV012,2023-09-01,2026-07-18,2026-06-29,,exclude_from_generation_identity_until_separately_resolved,08_boat_{equipment_number}_20260629,planned_not_applied,true,GENCAND:08:boat:20260629
provisional,false,official_evidence_import_sidecar_only,08,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-11-11,,A,EV011,2023-09-01,2026-07-18,2025-11-11,,exclude_from_generation_identity_until_separately_resolved,08_motor_{equipment_number}_20251111,planned_not_applied,true,GENCAND:08:motor:20251111
provisional,false,official_evidence_import_sidecar_only,09,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-12-22,,A,EV014,2023-12-16,2026-07-18,2025-12-22,,exclude_from_generation_identity_until_separately_resolved,09_boat_{equipment_number}_20251222,planned_not_applied,true,GENCAND:09:boat:20251222
provisional,false,official_evidence_import_sidecar_only,09,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-12-22,,A,EV013,2023-12-16,2026-07-18,2025-12-22,,exclude_from_generation_identity_until_separately_resolved,09_motor_{equipment_number}_20251222,planned_not_applied,true,GENCAND:09:motor:20251222
