regime_record_id,scope,venue_code,equipment_type,effective_date,effective_date_precision,regime,role,prediction_feature_allowed,evidence_source,evidence_observed_at,provenance_confidence,confirmation_status,notes
APR0001,national_transition_marker,,motor_and_boat_allocation_process,,before_2026-02,manual_legacy,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,reported_official_statement_not_locally_archived,national_context_only,No per-venue legacy end date is inferred.
APR0002,national_rollout_marker,,motor_and_boat_allocation_process,2026-02,month,digital_rollout,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,reported_official_statement_not_locally_archived,rollout_start_reported,This is not a uniform effective date for all venues. No venue is marked digital_confirmed by this row.
APR0003,venue_status,01,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0004,venue_status,02,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0005,venue_status,03,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0006,venue_status,04,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0007,venue_status,05,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0008,venue_status,06,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0009,venue_status,07,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0010,venue_status,08,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0011,venue_status,09,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0012,venue_status,10,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0013,venue_status,11,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0014,venue_status,12,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0015,venue_status,13,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0016,venue_status,14,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
APR0017,venue_status,15,motor_and_boat_allocation_process,,unknown,unknown,provenance_only,false,user-supplied official-announcement fact: rollout begins with February 2026 PG1 Speed Queen Memorial and is planned for all venues during 2026; primary artifact not present locally,2026-07-28T00:00:00+09:00,no_venue_specific_evidence,needs_venue_specific_official_evidence,Do not infer from the national rollout plan. Change to digital_confirmed only with venue-specific official evidence.
