program_id,title,member_hypothesis_ids,required_universe,required_features,required_targets,prerequisite_programs,gate1_data_status,activation_status,activation_wave,screening_or_confirmation,equipment_scope,temporal_scope,blocking_reason_codes,next_gate_action
CDP-A01,情報更新・展示残差,H034;H035,U0_primary_supervised,事前確率→展示更新、および期待展示残差,TARGET_TOP3,,design_only_data_ready_not_training,ready_after_asof_feature_materialization,wave1,screening_then_confirmation,none,asof_required,temporal_provenance_not_materialized,Gate2 contract review; no Gate1 training
CDP-A02,Top-3出力分解,H036;H038;H073,U0_primary_supervised,集合→順序、相関効用、6×6割当,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A03,構造化三連単スコアリング,H037;H048;H056;H098,U0_primary_supervised,Energy、ペア射影、低ランクtensor、ラベルgraph,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A04,多粒度確率整合,H039;H082,U0_primary_supervised,soft consistency と hard projection,TARGET_TOP3,,design_only_data_ready_not_training,finalization_only,finalization,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A05,類似レース検索,H041,U0_primary_supervised,時点厳守retrieval augmentation,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A06,コールドスタート階層化,H045,U0_primary_supervised,階層縮約＋能力不確実性,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A07,交差相互作用・加算表現,H042;H084,U0_primary_supervised,低ランク交差、Neural Additive＋選択相互作用,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A08,連続時間主体状態,H050,U0_primary_supervised,連続時間状態空間,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave1_planning,wave1,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A09,補助学習・複数view,H053;H055,U0_primary_supervised,勾配衝突制御、view別branch整合,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave2_planning,wave2,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A10,ST・潜在パフォーマンス相関,H058;H072,U0_primary_supervised,6艇相関ST・相関latent performance,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave2_planning,wave2,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A11,統計基礎＋高表現力残差,H064;H089;H097,U0_primary_supervised,neural residual、証拠量縮約、逐次OOF boosting,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave2_planning,wave2,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A12,機材効果・統合戦力分離,H066;H067;H068,U0_primary_supervised,抽選構造、直交残差、交差階層Bayes,TARGET_TOP3,,design_only_data_ready_not_training,ready_for_wave2_planning,wave2,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A13,最終モデル統合,H079;H094;H108,U0_primary_supervised,predictive stacking、自己蒸留、OOF苦手専門家,TARGET_TOP3,,design_only_data_ready_not_training,finalization_only,finalization,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A14,階層・構造化校正,H086;H100,U0_primary_supervised,階層temperature、置換同変calibrator,TARGET_TOP3,,design_only_data_ready_not_training,finalization_only,finalization,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
CDP-A15,ニューラル学習安定化,H087;H095;H102;H103,U0_primary_supervised,SWA/SWAG、Brier補助、SAM、R-Drop,TARGET_TOP3,,design_only_data_ready_not_training,finalization_only,finalization,screening_then_confirmation,none,none,,Gate2 contract review; no Gate1 training
