feature_name,feature_tier,source_table,source_field,source_observed_at_rule,semantic_available_at_rule,physical_capture_status,calculation_window,calculation_cutoff,max_source_event_at_rule,inference_allowed,null_count,null_rate,future_leakage_risk,provenance_status,audit_result
race_key,safe_core,raw_program_json,race_key,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
race_date,safe_core,raw_program_json,race_date,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
venue_code,safe_core,raw_program_json,venue_code,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
race_no,safe_core,raw_program_json,race_no,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
closed_at,safe_core,raw_program_json,closed_at,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
beforeinfo_time,safe_core,raw_beforeinfo_html,beforeinfo_time,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,195037,0.9155978893604236,none,verified_pre_race_source,pass
distance,safe_core,raw_program_json,distance,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
grade_number,safe_core,raw_program_json,grade_number,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
preview_air_temperature,safe_core,raw_beforeinfo_html,preview_air_temperature,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,166,0.000779284185225523,none,verified_pre_race_source,pass
preview_water_temperature,safe_core,raw_beforeinfo_html,preview_water_temperature,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,166,0.000779284185225523,none,verified_pre_race_source,pass
preview_wave_height,safe_core,raw_beforeinfo_html,preview_wave_height,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,166,0.000779284185225523,none,verified_pre_race_source,pass
preview_weather,safe_core,raw_beforeinfo_html,preview_weather,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
preview_wind_direction_number,safe_core,raw_beforeinfo_html,preview_wind_direction_number,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,166,0.000779284185225523,none,verified_pre_race_source,pass
preview_wind_speed,safe_core,raw_beforeinfo_html,preview_wind_speed,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,166,0.000779284185225523,none,verified_pre_race_source,pass
subtitle,safe_core,raw_program_json,subtitle,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
title,safe_core,raw_program_json,title,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
race_key,safe_core,raw_program_json,race_key,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
lane,safe_core,raw_program_json,lane,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
race_date,safe_core,raw_program_json,race_date,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
venue_code,safe_core,raw_program_json,venue_code,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
race_no,safe_core,raw_program_json,race_no,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
racer_id,safe_core,raw_program_json,racer_id,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
