status,eligible_for_model_training,purpose,race_key,previous_confidence,historical_episode_status,proposed_episode_id,proposed_meeting_day_number,historical_derivation_confidence,prediction_time_feature_eligibility,prediction_time_evidence,future_schedule_used_for_identity,exception_type,resolution_status,reason_code,evidence_summary
provisional,false,policy_execution_validation,20230901_02_01,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_02,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_03,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_04,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_05,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_06,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_07,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_08,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_09,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_10,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_11,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_02_12,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_01,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_02,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_03,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_04,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_05,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_06,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_07,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_08,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_09,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_10,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_11,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_06_12,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_01,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_02,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_03,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_04,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_05,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_06,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_07,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_08,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
provisional,false,policy_execution_validation,20230901_07_09,unresolved,left_censored_without_initial_day,,,unresolved,false,No prediction-time feature is materialized by this provisional audit.,false,partial_episode_without_first_day,structurally_left_censored,fixture_block_starts_after_meeting_day_1,Observed block begins with a later numbered day and contains no local 初日 anchor.
