research_feature_id,feature_name,feature_table_or_scope,current_or_future,source_location,source_field,availability_class,point_in_time_rule,calculation_window,calculation_cutoff,proposed_availability_status,inference_allowed,hypothesis_ids,notes
RF_V01_RACE_FEATURES_RACE_KEY,race_key,race_features,current_v0_1,derived identity from official program natural key,race_key,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_RACE_DATE,race_date,race_features,current_v0_1,derived identity from official program natural key,race_date,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_VENUE_CODE,venue_code,race_features,current_v0_1,derived identity from official program natural key,venue_code,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_RACE_NO,race_no,race_features,current_v0_1,derived identity from official program natural key,race_no,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_CLOSED_AT,closed_at,race_features,current_v0_1,raw programs JSON / programs[],closed_at,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_BEFOREINFO_TIME,beforeinfo_time,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,info_time_text,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_DISTANCE,distance,race_features,current_v0_1,raw programs JSON / programs[],distance,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_GRADE_NUMBER,grade_number,race_features,current_v0_1,raw programs JSON / programs[],grade_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_RACE_FEATURES_PREVIEW_AIR_TEMPERATURE,preview_air_temperature,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,temperature_c,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_PREVIEW_WATER_TEMPERATURE,preview_water_temperature,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,water_temp_c,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_PREVIEW_WAVE_HEIGHT,preview_wave_height,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,wave_cm,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_PREVIEW_WEATHER,preview_weather,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,weather_text,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_PREVIEW_WIND_DIRECTION_NUMBER,preview_wind_direction_number,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,wind_dir_code,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_PREVIEW_WIND_SPEED,preview_wind_speed,race_features,current_v0_1,official raw_html beforeinfo / parsed race fields,wind_speed_m,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_RACE_FEATURES_SUBTITLE,subtitle,race_features,current_v0_1,raw programs JSON / programs[],subtitle,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
