status,eligible_for_model_training,purpose,hypothesis_id,title,data_gap_category,data_gap_patch_action,feature_map_patch_action,readiness_patch_action,additional_collection_required,required_gate,rationale
provisional,false,hypothesis_addendum_sidecar_review_only,H034,段階的確率更新モデル,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H035,展示サプライズ残差モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H036,Top-3集合→順序分解モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H037,厳密正規化Permutation CRF／Energy Model,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H038,相関ランダム効用モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H039,多粒度確率整合学習,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H040,潜在レース型Mixture-of-Experts,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H041,類似レース検索拡張モデル,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H042,低ランク交差相互作用モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H043,自己教師あり事前学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H044,部分ラベル・多品質学習,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H045,コールドスタート階層モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H046,時系列主体グラフメモリ,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H047,場・時代横断ロバスト学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H048,15ペア勝敗→120通り再構成モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H049,確率分布そのものの不確実性モデル,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H050,連続時間・主体別状態空間モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H051,変化点付きレジーム切替状態モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H052,少数履歴から能力分布を作るメタ学習,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H053,補助教師間の勾配衝突制御,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
