unresolved_id,evidence_batch_id,venue_code,venue_name,equipment_type,unresolved_period_start,unresolved_period_end,reason_code,current_evidence_level,known_boundary_dates,recommended_official_evidence,suggested_search_terms,priority,generation_id_issued,notes,supporting_partial_evidence_ids
UNRES:EBATCH:01:boat:c8b55cbe21d0:full,EBATCH:01:boat:c8b55cbe21d0,01,桐生,boat,2023-09-05,2026-07-18,staggered_per_number_start_dates_no_single_A_or_B_generation_boundary,C,,Official replacement/introduction notice or per-number official introduction registry.,01 boat 新モーター 新ボート 使用開始,P0,false,No exact sidecar generation boundary issued.,EV002
UNRES:EBATCH:01:motor:28c1e578fcc1:pre_20231228,EBATCH:01:motor:28c1e578fcc1,01,桐生,motor,2023-09-05,2023-12-27,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2023-12-28;2025-12-27,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",01 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV001;EV040
UNRES:EBATCH:02:boat:25ce019ef28c:pre_20250806,EBATCH:02:boat:25ce019ef28c,02,戸田,boat,2023-09-01,2025-08-05,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-08-06,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",02 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV003
UNRES:EBATCH:02:motor:e2ac07487182:pre_20250806,EBATCH:02:motor:e2ac07487182,02,戸田,motor,2023-09-01,2025-08-05,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-08-06,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",02 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV003
UNRES:EBATCH:03:boat:df6c66590237:pre_20250506,EBATCH:03:boat:df6c66590237,03,江戸川,boat,2023-09-02,2025-05-05,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-05-06;2026-05-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",03 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV004;EV041
UNRES:EBATCH:03:motor:0da266669269:pre_20250506,EBATCH:03:motor:0da266669269,03,江戸川,motor,2023-09-02,2025-05-05,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-05-06;2026-05-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",03 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV004;EV041
UNRES:EBATCH:04:boat:718b10f2b7b9:pre_20260618,EBATCH:04:boat:718b10f2b7b9,04,平和島,boat,2023-09-06,2026-06-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-06-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",04 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV005
UNRES:EBATCH:04:motor:54af06a12621:pre_20260618,EBATCH:04:motor:54af06a12621,04,平和島,motor,2023-09-06,2026-06-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-06-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",04 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV005
UNRES:EBATCH:05:boat:dd073781a783:pre_20260418,EBATCH:05:boat:dd073781a783,05,多摩川,boat,2023-09-05,2026-04-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",05 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV007
UNRES:EBATCH:05:motor:d05ae8e7ccb5:pre_20260418,EBATCH:05:motor:d05ae8e7ccb5,05,多摩川,motor,2023-09-05,2026-04-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",05 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV006
