hypothesis_id,canonical_role,canonical_parent_id,decision_program_id,required_universe_flags,required_feature_sets,required_targets,required_equipment_scope,required_temporal_scope,data_available_at_gate1,gate1_execution_status,activation_wave,prerequisite_hypotheses,blocking_reason_codes,allowed_training_scope,formal_registry_mutated,model_training_allowed_after_full_gate1,notes
H001,formal_top_level,,,U0_primary_supervised,RF_RACER_LONG,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Formal registry read-only.
H002,formal_top_level,,,U0_primary_supervised,RF_RACER_SHORT,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H001,,design_only_no_training,False,False,Formal registry read-only.
H003,formal_top_level,,,U0_primary_supervised,RF_RACER_MULTI,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H001,,design_only_no_training,False,False,Formal registry read-only.
H004,formal_top_level,,,U0_primary_supervised,RF_MOTOR_GENERATION;RF_BOAT_GENERATION,TARGET_TOP3,equipment_generation_verified,,partial_or_not_materialized,partial_equipment_scope,wave2,,equipment_generation_not_fully_materialized,design_only_no_training,False,False,Formal registry read-only.
H005,formal_top_level,,,U0_primary_supervised,RF_EQUIPMENT_BASE;RF_EQUIPMENT_MEETING_STATE,TARGET_TOP3,equipment_generation_verified,temporal_provenance_verified,partial_or_not_materialized,partial_equipment_scope,wave2,H004,equipment_generation_not_fully_materialized;temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H006,formal_top_level,,,U0_primary_supervised,RF_ADJUSTMENT_SKILL,TARGET_TOP3,equipment_generation_verified,,partial_or_not_materialized,partial_equipment_scope,wave2,H005,equipment_generation_not_fully_materialized,design_only_no_training,False,False,Formal registry read-only.
H007,formal_top_level,,,U0_primary_supervised,RF_RACER_MOTOR,TARGET_TOP3,equipment_generation_verified,,partial_or_not_materialized,partial_equipment_scope,wave2,H004;H005,equipment_generation_not_fully_materialized,design_only_no_training,False,False,Formal registry read-only.
H008,formal_top_level,,,U0_primary_supervised,RF_RACER_VENUE;RF_RACER_COURSE,TARGET_TOP3,equipment_generation_verified,,partial_or_not_materialized,partial_equipment_scope,wave2,H001,equipment_generation_not_fully_materialized,design_only_no_training,False,False,Formal registry read-only.
H009,formal_top_level,,,U0_primary_supervised,RF_RELATIVE_SIX,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H001,,design_only_no_training,False,False,Formal registry read-only.
H010,formal_top_level,,,U0_primary_supervised,RF_PAIRWISE,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H009,,design_only_no_training,False,False,Formal registry read-only.
H011,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H009,,design_only_no_training,False,False,Formal registry read-only.
H012,formal_top_level,,,U0_primary_supervised,RF_EXHIBITION_STANDARDIZED,TARGET_TOP3,,temporal_provenance_verified,partial_or_not_materialized,ready_after_asof_feature_materialization,wave1,,temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H013,formal_top_level,,,U0_primary_supervised,RF_VENUE_DAY,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H012,,design_only_no_training,False,False,Formal registry read-only.
H014,formal_top_level,,,U0_primary_supervised,RF_MEETING;RF_SAME_DAY,TARGET_TOP3,,temporal_provenance_verified,partial_or_not_materialized,ready_after_asof_feature_materialization,wave1,,temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H015,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Formal registry read-only.
H016,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H017,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H018,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H019,formal_top_level,,,U0_primary_supervised,RF_PAIRWISE,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H010;H015,,design_only_no_training,False,False,Formal registry read-only.
H020,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H021,formal_top_level,,,U0_primary_supervised,RF_RACER_DYNAMIC;RF_EQUIPMENT_MEETING_STATE,TARGET_TOP3,equipment_generation_verified,temporal_provenance_verified,partial_or_not_materialized,partial_equipment_scope,wave2,H001;H005,equipment_generation_not_fully_materialized;temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H022,formal_top_level,,,U0_primary_supervised,RF_VENUE_GRADE_GATE,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H023,formal_top_level,,,U0_primary_supervised,RF_MODEL_PROBABILITIES,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015;H017;H019,,design_only_no_training,False,False,Formal registry read-only.
H024,formal_top_level,,,U0_primary_supervised,RF_ORACLE_ACTUAL_COURSE,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H025,formal_top_level,,,U0_primary_supervised,RF_ORACLE_ACTUAL_ST,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H026,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H024;H025,,design_only_no_training,False,False,Formal registry read-only.
