status,eligible_for_model_training,purpose,hypothesis_id,title,proposed_readiness_state,readiness_patch_action,feature_map_patch_action,proposed_feature_scope,formal_registry_or_feature_map_action,rationale
provisional,false,hypothesis_addendum_sidecar_review_only,H034,段階的確率更新モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H035,展示サプライズ残差モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H036,Top-3集合→順序分解モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H037,厳密正規化Permutation CRF／Energy Model,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H038,相関ランダム効用モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H039,多粒度確率整合学習,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H040,潜在レース型Mixture-of-Experts,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H041,類似レース検索拡張モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H042,低ランク交差相互作用モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H043,自己教師あり事前学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H044,部分ラベル・多品質学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H045,コールドスタート階層モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H046,時系列主体グラフメモリ,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H047,場・時代横断ロバスト学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
