status,eligible_for_model_training,purpose,hypothesis_id,title,classification,related_existing_hypothesis_ids,related_addendum_hypothesis_ids,proposed_review_action,review_basis,formal_registry_action
provisional,false,hypothesis_addendum_sidecar_review_only,H034,段階的確率更新モデル,variant_of_existing,H012;H015;H019,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H035,展示サプライズ残差モデル,new_distinct_hypothesis,H012;H013,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H036,Top-3集合→順序分解モデル,variant_of_existing,H015;H017;H019,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H037,厳密正規化Permutation CRF／Energy Model,variant_of_existing,H015;H019;H020,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H038,相関ランダム効用モデル,variant_of_existing,H018;H010;H011,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H039,多粒度確率整合学習,variant_of_existing,H015;H017;H019,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H040,潜在レース型Mixture-of-Experts,variant_of_existing,H022;H023,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H041,類似レース検索拡張モデル,new_distinct_hypothesis,H016;H021,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H042,低ランク交差相互作用モデル,variant_of_existing,H007;H008;H010,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H043,自己教師あり事前学習,new_distinct_hypothesis,H021;H016,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H044,部分ラベル・多品質学習,variant_of_existing,H029,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
