status,eligible_for_model_training,purpose,hypothesis_id,family,tier,title,readiness_state,blocker_ids,prerequisite_hypotheses,data_availability_class,execution_conditions,earliest_gate,current_fixture_support,primary_metric_contract,unresolved
provisional,false,policy_execution_validation,H001,racer_strength,core_decision,選手の長期能力,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H002,racer_strength,core_decision,選手の短期フォーム,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H001,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H003,racer_strength,core_decision,選手能力の多次元分解,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H001,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H004,equipment,core_decision,モーター・ボート世代識別,blocked_by_equipment_generation,B001;B002;B008,,D,accept official A/B equipment boundaries; finish Gate 1 snapshot,Gate2_after_equipment_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,blocked_new_acquisition
provisional,false,policy_execution_validation,H005,equipment,core_decision,機材基礎性能と今節状態の分離,blocked_by_equipment_generation,B001;B002;B008,H004,B,accept official A/B equipment boundaries; finish Gate 1 snapshot,Gate2_after_equipment_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H006,racer_strength,core_decision,選手の調整能力,blocked_by_equipment_generation,B001;B002;B008,H005,B,accept official A/B equipment boundaries; finish Gate 1 snapshot,Gate2_after_equipment_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H007,interaction,core_decision,選手×モーター相互作用,blocked_by_equipment_generation,B001;B002;B008,H004;H005,B,accept official A/B equipment boundaries; finish Gate 1 snapshot,Gate2_after_equipment_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H008,interaction,core_decision,選手×場・選手×コース相互作用,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H001,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H009,relational,core_decision,6艇内相対特徴,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H001,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H010,relational,core_decision,6艇ペア関係,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H009,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
